,char1,char2,global_cluster1,global_cluster2,monologue_cluster1,monologue_cluster2,onelistener_cluster1,onelistener_cluster2,multilistener_cluster1,multilistener_cluster2,survey1,survey2,survey3,survey4,survey5,survey6,survey7,survey8,survey9,survey10,survey11,survey_mean_score,global_cluster_comparison,monologue_cluster_comparison,onelistener_cluster_comparison,multilistener_cluster_comparison,global_cluster_performance,monologue_cluster_performance,onelistener_cluster_performance,multilistener_cluster_performance
정원_8월의 크리스마스_수헌_싱글즈,정원_8월의 크리스마스,수헌_싱글즈,0.0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,,,,,0.0,,,,,,1.0,0.5,1.0,0.0,1.0,0.0,0.6464466094067263,0.6464466094067263,0.6464466094067263,0.6464466094067263
강은표_고지전_김수혁_고지전,강은표_고지전,김수혁_고지전,0.0,3.0,2.0,0.0,3.0,3.0,2.0,2.0,0.0,,,0.0,,1.0,,,,,,0.3333333333333333,0.0,0.0,1.0,1.0,0.7642977396044841,0.7642977396044841,0.5285954792089682,0.5285954792089682
강은표_고지전_희봉_괴물,강은표_고지전,희봉_괴물,0.0,1.0,2.0,0.0,3.0,2.0,2.0,0.0,,,,1.0,,0.0,,,,,,0.5,0.0,0.0,0.0,0.0,0.6464466094067263,0.6464466094067263,0.6464466094067263,0.6464466094067263
강은표_고지전_강두_괴물,강은표_고지전,강두_괴물,0.0,3.0,2.0,0.0,3.0,1.0,2.0,0.0,,,,0.0,,1.0,,,,,,0.5,0.0,0.0,0.0,0.0,0.6464466094067263,0.6464466094067263,0.6464466094067263,0.6464466094067263
강은표_고지전_현서_괴물,강은표_고지전,현서_괴물,0.0,0.0,2.0,0.0,3.0,0.0,2.0,1.0,,,,0.0,,0.0,,,,,,0.0,1.0,0.0,0.0,0.0,0.2928932188134524,1.0,1.0,1.0
강은표_고지전_남일_괴물,강은표_고지전,남일_괴물,0.0,3.0,2.0,0.0,3.0,1.0,2.0,0.0,,,,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
강은표_고지전_남주_괴물,강은표_고지전,남주_괴물,0.0,3.0,2.0,2.0,3.0,1.0,2.0,0.0,,,,1.0,,0.0,,,,,,0.5,0.0,1.0,0.0,0.0,0.6464466094067263,0.6464466094067263,0.6464466094067263,0.6464466094067263
강은표_고지전_고건수_끝까지 간다,강은표_고지전,고건수_끝까지 간다,0.0,0.0,2.0,0.0,3.0,0.0,2.0,2.0,1.0,,,0.0,,0.0,,,,,,0.3333333333333333,1.0,0.0,0.0,1.0,0.5285954792089682,0.7642977396044841,0.7642977396044841,0.5285954792089682
강은표_고지전_박창민_끝까지 간다,강은표_고지전,박창민_끝까지 간다,0.0,0.0,2.0,2.0,3.0,0.0,2.0,1.0,1.0,,,0.0,,0.0,,,,,,0.3333333333333333,1.0,1.0,0.0,0.0,0.5285954792089682,0.5285954792089682,0.7642977396044841,0.7642977396044841
강은표_고지전_대수_올드보이,강은표_고지전,대수_올드보이,0.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,,,0.0,,0.0,,,,,,0.3333333333333333,0.0,0.0,1.0,1.0,0.7642977396044841,0.7642977396044841,0.5285954792089682,0.5285954792089682
강은표_고지전_미도_올드보이,강은표_고지전,미도_올드보이,0.0,0.0,2.0,2.0,3.0,0.0,2.0,1.0,0.0,,,0.0,,0.0,,,,,,0.0,1.0,1.0,0.0,0.0,0.2928932188134524,0.2928932188134524,1.0,1.0
